epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1033.42,0.61202,0.38932,0.94362,0.87757,0.96118,0.97423,0.82473,0.74024,0.43367,0.97436,0.000528272,0.000528272,0.000528272
71,1047.97,0.60243,0.39895,0.94249,0.88545,0.96858,0.97463,0.83105,0.75446,0.42019,0.98056,0.000511769,0.000511769,0.000511769
72,1062.96,0.60621,0.38727,0.94086,0.84833,0.94352,0.96531,0.81727,0.7899,0.54508,0.99529,0.000495266,0.000495266,0.000495266
73,1077.5,0.60297,0.38989,0.94451,0.89023,0.92553,0.97234,0.82302,0.77757,0.48984,1.01982,0.000478762,0.000478762,0.000478762
74,1092.27,0.60156,0.38312,0.94133,0.881,0.95248,0.96797,0.81266,0.77752,0.44477,0.99806,0.000462259,0.000462259,0.000462259
75,1106.98,0.58419,0.37448,0.93144,0.87115,0.95648,0.97131,0.81922,0.75747,0.45427,0.9928,0.000445756,0.000445756,0.000445756
76,1121.42,0.60463,0.39124,0.94724,0.87124,0.93654,0.97168,0.82301,0.77342,0.48569,1.00325,0.000429253,0.000429253,0.000429253
77,1136.14,0.5951,0.37852,0.93831,0.87601,0.91907,0.95634,0.81025,0.73753,0.54413,0.97218,0.000412749,0.000412749,0.000412749
78,1150.91,0.57571,0.38183,0.93069,0.87612,0.91624,0.96394,0.82061,0.75273,0.51528,0.99057,0.000396246,0.000396246,0.000396246
79,1165.58,0.56912,0.36674,0.93021,0.85022,0.94439,0.96561,0.82446,0.7388,0.51671,0.96869,0.000379743,0.000379743,0.000379743
80,1180.24,0.57781,0.37099,0.93269,0.90136,0.92459,0.96361,0.82501,0.75349,0.46456,1.00111,0.000363239,0.000363239,0.000363239
81,1194.89,0.57939,0.36322,0.9258,0.83892,0.9309,0.96141,0.8138,0.79307,0.55303,1.01587,0.000346736,0.000346736,0.000346736
82,1209.44,0.56696,0.357,0.92925,0.83262,0.96028,0.96429,0.82298,0.78211,0.53348,1.00639,0.000330233,0.000330233,0.000330233
83,1224.05,0.57166,0.35431,0.93099,0.89502,0.92273,0.96838,0.82968,0.74325,0.47348,0.99321,0.000313729,0.000313729,0.000313729
84,1238.63,0.55948,0.35299,0.92526,0.86977,0.95288,0.96857,0.82862,0.76378,0.47979,0.98828,0.000297226,0.000297226,0.000297226
85,1253.39,0.55908,0.34145,0.92351,0.87061,0.95502,0.96895,0.82894,0.7377,0.45687,0.97666,0.000280723,0.000280723,0.000280723
86,1268.09,0.55905,0.35171,0.92256,0.87834,0.95344,0.97391,0.83118,0.75706,0.45882,1.00013,0.00026422,0.00026422,0.00026422
87,1283.16,0.53811,0.33265,0.91388,0.92078,0.92724,0.97511,0.83176,0.7785,0.42159,1.00359,0.000247716,0.000247716,0.000247716
88,1298.36,0.54982,0.33769,0.9201,0.93383,0.90225,0.97077,0.83396,0.76416,0.45162,0.98845,0.000231213,0.000231213,0.000231213
89,1313.6,0.55927,0.34504,0.92162,0.88869,0.93011,0.96825,0.82962,0.74438,0.45293,0.97516,0.00021471,0.00021471,0.00021471
90,1328.37,0.53271,0.33341,0.91577,0.90294,0.92438,0.96804,0.82144,0.77877,0.4535,0.9974,0.000198206,0.000198206,0.000198206
91,1344.09,0.50151,0.27836,0.89451,0.86807,0.92856,0.9675,0.82139,0.76984,0.4843,1.00747,0.000181703,0.000181703,0.000181703
92,1358.81,0.49751,0.26439,0.88538,0.92023,0.91799,0.96816,0.82523,0.7967,0.44478,1.01076,0.0001652,0.0001652,0.0001652
93,1373.61,0.48928,0.26315,0.88365,0.91631,0.92822,0.97226,0.82744,0.79169,0.43016,1.01693,0.000148696,0.000148696,0.000148696
94,1388.17,0.48199,0.26284,0.88117,0.94047,0.89735,0.96987,0.82977,0.78208,0.43748,1.00295,0.000132193,0.000132193,0.000132193
95,1402.89,0.47168,0.2572,0.87466,0.91803,0.93368,0.97417,0.82747,0.79099,0.43864,1.01191,0.00011569,0.00011569,0.00011569
96,1417.52,0.46704,0.24806,0.88482,0.91657,0.93116,0.97309,0.83475,0.757,0.41925,0.99251,9.91865e-05,9.91865e-05,9.91865e-05
97,1432.54,0.46426,0.24435,0.87075,0.91053,0.93061,0.97052,0.83162,0.75964,0.43814,0.99466,8.26832e-05,8.26832e-05,8.26832e-05
98,1448.22,0.46673,0.24458,0.87412,0.92037,0.92583,0.97083,0.83188,0.7677,0.43597,0.99868,6.61799e-05,6.61799e-05,6.61799e-05
99,1462.83,0.45662,0.23705,0.87265,0.93573,0.91518,0.97145,0.82697,0.78472,0.4324,1.0152,4.96766e-05,4.96766e-05,4.96766e-05
100,1477.21,0.45748,0.23489,0.86809,0.94317,0.9161,0.97212,0.82967,0.78501,0.42776,1.01568,3.31733e-05,3.31733e-05,3.31733e-05
